herb,positive_target,negative_target,positive_score,negative_score,fold
287,2198,7342,6.0809,0.1753,0
566,806,4501,0.3634,0.1298,0
469,3910,4973,1.0126,0.1534,3
658,3141,4499,0.4128,0.1488,1
405,429,910,9.5624,0.1377,4
296,5270,4122,1.5539,0.1432,2
224,2198,6612,7.2813,0.1466,2
694,1924,7505,0.795,0.1897,4
288,69,6552,13.7799,0.1577,3
354,69,221,5.3968,0.181,4
5,5515,5500,4.5573,0.1572,3
211,2540,4122,3.2858,0.1404,2
627,4575,6500,0.8617,0.1888,2
337,429,3237,11.1262,0.1357,4
437,5431,4121,2.5204,0.1449,3
46,5431,221,5.0773,0.1542,1
194,429,6612,3.7986,0.1553,2
530,6170,4122,0.7744,0.1599,1
145,1909,1190,7.8237,0.1612,0
52,5431,5268,5.6901,0.1512,3
394,5515,2727,2.0561,0.126,3
443,5515,6612,3.938,0.1445,2
16,5431,7347,7.3539,0.1659,1
464,1902,6703,1.1945,0.1426,3
664,7126,3619,0.4152,0.1092,3
377,5431,3228,4.9482,0.1236,2
409,69,6612,12.8801,0.1581,4
524,4415,5375,1.0552,0.1929,3
578,2252,910,0.7073,0.1619,2
434,5431,6612,7.0222,0.1248,4
139,429,4840,11.6147,0.1457,0
86,7061,1041,1.9342,0.1332,3
428,5431,1650,4.1247,0.1391,2
247,5431,3237,12.3287,0.1336,2
47,429,6612,3.5474,0.1339,0
597,1909,1665,1.9226,0.1893,3
307,2198,959,5.0514,0.1359,0
259,5431,2646,4.7301,0.1673,0
115,69,5520,8.3412,0.1774,3
442,897,4817,0.9588,0.1663,2
197,5515,6359,11.0484,0.1592,3
432,806,6612,3.2331,0.1366,4
411,4575,4134,1.9949,0.1461,0
41,1909,1651,6.6751,0.1432,3
268,5431,7607,8.7552,0.131,4
335,1909,7402,9.6011,0.1431,4
127,4628,6101,4.0092,0.1682,0
55,69,1642,13.383,0.1343,2
92,2198,4125,2.6331,0.1496,3
486,2198,2727,3.0179,0.112,0
637,4415,4125,1.3245,0.1668,3
129,3874,1945,1.5598,0.1821,2
119,429,4122,5.1491,0.1504,3
457,2198,5135,3.504,0.1493,1
230,5431,6101,17.6973,0.1426,1
382,1103,4018,2.5398,0.1439,4
19,5515,6568,9.5987,0.1595,3
675,1902,2517,1.0834,0.1597,0
145,5515,6101,7.8732,0.1585,0
347,5431,3008,25.9831,0.1363,3
2,5431,1662,6.9075,0.1484,4
206,429,3228,6.3835,0.1165,1
595,4001,6359,0.4746,0.1778,4
583,897,4018,1.9028,0.1667,4
154,2198,892,5.186,0.1572,4
107,806,3411,6.0303,0.1728,4
278,4629,3805,1.6704,0.1451,4
202,5431,6612,6.8207,0.1456,3
575,664,3411,0.7953,0.1734,3
433,429,1651,2.1811,0.1561,0
371,1909,6101,3.9608,0.1577,0
681,1909,6101,0.6731,0.1838,4
324,5515,6612,6.2802,0.1486,3
480,5431,3228,6.8827,0.1355,3
369,1909,6459,3.7038,0.156,3
462,2198,2154,5.2444,0.1574,2
362,5515,2129,9.5285,0.1595,2
4,5515,4840,5.6148,0.1502,0
414,1902,4840,0.7774,0.163,4
245,429,4227,31.066,0.1694,0
201,429,6703,3.9146,0.1465,2
212,5431,4636,3.4114,0.1448,4
238,5431,3237,16.0447,0.1518,0
114,429,2314,7.1513,0.1272,4
250,1909,5500,4.6994,0.1553,4
83,806,961,7.6652,0.1508,2
455,5431,6101,24.5457,0.1414,2
484,429,5268,3.7971,0.1782,1
413,4415,608,2.1179,0.1392,2
249,2198,4840,6.6685,0.1419,0
263,5515,3237,10.7915,0.1288,3
321,2198,2314,4.3143,0.1407,3
237,5431,6612,10.2915,0.1371,3
467,5431,6101,26.0278,0.1349,3
288,2540,3215,13.4004,0.1592,3
384,5515,967,2.9378,0.1451,1
641,1902,1651,0.5796,0.1284,1
2,5515,2356,6.2842,0.1487,4
146,429,6612,15.785,0.1413,0
611,3146,1074,0.6327,0.1631,3
24,429,5135,6.0079,0.1456,3
113,1909,209,15.2264,0.1383,2
492,429,1642,9.5067,0.1497,3
487,5515,702,5.1016,0.1498,0
231,1909,2314,4.5427,0.1291,0
663,5918,1577,0.2816,0.1496,0
531,5515,5271,1.3726,0.1692,2
229,5515,4817,4.6517,0.1531,2
63,1909,392,10.6688,0.1579,3
244,429,248,5.2337,0.169,1
140,5515,7347,8.0691,0.1525,1
290,69,6101,5.6074,0.1268,2
84,1909,7402,8.8724,0.1481,4
5,1909,1390,4.2729,0.1595,3
466,5431,4134,6.3155,0.153,1
15,7061,256,0.9378,0.1708,4
276,5515,3404,5.788,0.1413,1
538,1409,5760,0.4627,0.1586,1
422,5515,3228,5.5645,0.128,3
175,806,894,8.7851,0.1471,0
450,69,620,6.2614,0.1385,2
489,5431,2727,4.6218,0.1404,0
297,1909,1190,10.7251,0.1388,2
167,5431,3237,7.9587,0.138,1
278,664,2863,1.6727,0.1433,4
253,5515,6612,6.4471,0.1329,0
299,2198,6703,3.7673,0.1424,4
432,429,6459,3.025,0.1378,4
543,1623,209,0.4208,0.1779,2
525,2405,5504,0.5031,0.1602,4
187,1909,6209,8.4862,0.1611,3
66,5021,27,0.9896,0.1576,1
386,1909,1642,8.1922,0.1603,3
131,5431,4122,25.058,0.1466,0
