herb,positive_target,negative_target,positive_score,negative_score,fold
374,5431,1642,8.4826,0.1352,1
339,5259,4840,0.749,0.1486,4
483,4628,3041,1.1715,0.1747,0
318,1909,1274,19.3718,0.1676,1
372,2198,6612,3.9374,0.1398,3
245,4628,4120,34.7142,0.1688,4
421,2198,2671,3.1981,0.1961,1
570,4415,7402,0.6775,0.1869,0
488,5431,1390,3.4611,0.1604,1
81,5515,6612,2.5039,0.1368,2
212,5431,4636,3.4114,0.1448,0
30,1909,3125,2.4148,0.1484,1
452,1909,1390,6.1691,0.1596,0
473,4575,6209,5.0903,0.1509,2
406,2198,3917,5.0822,0.1259,0
695,5393,4501,0.2667,0.1874,4
38,5515,6612,8.38,0.1304,3
490,5431,6101,28.1357,0.1412,0
320,429,412,4.178,0.1842,4
591,3243,7520,0.2659,0.1731,3
223,5515,3404,5.8433,0.1774,0
194,429,6612,3.7986,0.1553,3
420,2198,3237,7.2725,0.1431,2
525,5764,5510,0.4698,0.1656,1
381,5431,7006,6.1874,0.161,0
330,5431,2314,5.0495,0.1493,4
240,1909,5268,2.866,0.1404,1
397,429,6935,3.6298,0.1835,3
441,2198,6568,2.804,0.169,3
344,2198,1642,15.6507,0.1413,1
635,1909,5500,0.6496,0.1707,4
297,5431,6101,15.4962,0.1365,1
368,5515,4840,5.5445,0.1349,4
246,1909,2891,8.6686,0.1306,1
398,4628,5500,2.4236,0.1823,1
170,5431,7117,8.5212,0.1495,4
5,1909,1390,4.2729,0.1595,3
257,5431,5622,13.2681,0.1541,2
262,5515,6612,4.7962,0.1341,0
233,2198,14,3.5653,0.162,3
345,1909,6612,3.3008,0.1392,4
336,5431,6101,13.1324,0.1315,2
365,2198,1190,5.1603,0.1525,0
217,2198,6459,6.7859,0.1313,1
223,69,674,5.5624,0.1789,0
641,1902,1651,0.5796,0.1284,2
21,5431,4122,5.817,0.1413,0
637,6295,1141,0.6312,0.1681,0
72,429,6612,3.0876,0.1488,3
674,7307,3106,0.2596,0.1769,1
190,5515,2995,1.662,0.1604,3
256,1909,3228,5.0157,0.1347,4
44,5515,6209,1.222,0.1454,1
230,5431,6101,17.6973,0.1426,4
495,3910,674,0.811,0.1655,2
33,1909,3237,9.5567,0.1387,0
460,5515,1651,4.0353,0.1377,0
183,806,4730,4.1525,0.1307,4
495,897,3404,0.9281,0.1641,2
401,2198,6612,3.5911,0.1353,4
286,5431,1199,12.5201,0.1254,0
294,5431,6612,4.8491,0.1298,0
13,5515,5813,3.6551,0.1858,2
377,5431,3228,4.9482,0.1236,4
92,2198,4125,2.6331,0.1496,2
386,2198,620,7.4761,0.1614,0
372,429,6703,4.2613,0.1394,3
11,666,4121,0.3773,0.1593,0
190,1909,6209,2.0037,0.1603,3
236,69,4840,6.3739,0.1307,2
472,429,4137,3.1863,0.1245,3
527,1244,6935,0.4028,0.1892,0
177,5515,3227,2.8605,0.1157,4
445,429,3034,11.9916,0.1347,4
28,69,5507,4.9492,0.1567,0
479,5515,2727,2.8394,0.1312,1
432,429,6459,3.025,0.1378,1
173,806,7117,5.5684,0.1548,4
115,69,5520,8.3412,0.1774,0
363,1909,6359,28.4916,0.165,2
302,1909,5269,15.0629,0.15,1
3,5431,4840,6.8125,0.1383,3
93,5431,6359,17.4397,0.1584,1
109,1909,4840,4.5505,0.153,2
182,5431,4122,16.4479,0.1271,0
68,664,2668,1.7888,0.1562,1
303,5431,1569,1.4732,0.1585,1
139,429,4840,11.6147,0.1457,0
345,5431,4134,5.844,0.1384,4
41,1909,1651,6.6751,0.1432,2
140,429,1222,11.6337,0.1491,3
156,2198,3227,4.4236,0.1495,0
189,429,702,9.404,0.142,4
244,429,248,5.2337,0.169,2
14,429,4840,6.8402,0.1371,0
135,5431,6612,15.1291,0.1455,3
65,806,4817,4.9603,0.1514,3
346,5515,3237,7.8241,0.1344,1
589,3910,20,0.8803,0.1769,2
481,5431,4121,3.3905,0.1415,1
442,429,1190,6.8059,0.1659,0
215,429,7347,6.8801,0.158,2
180,429,3237,11.33,0.1427,1
32,5515,6612,8.0949,0.1332,0
390,69,2356,7.1578,0.1524,1
543,3307,2597,0.3969,0.1794,1
192,5431,4122,12.5702,0.1515,0
34,429,910,9.48,0.1397,1
74,2540,2814,3.8414,0.1414,2
8,5515,6612,5.2467,0.1367,4
573,2866,644,0.5618,0.1839,2
258,429,3228,4.1124,0.1315,1
658,3141,4499,0.4128,0.1488,1
622,5515,5128,0.5737,0.1719,4
271,5515,6459,4.2566,0.1409,0
295,2198,2727,3.7382,0.1558,0
199,4628,1190,10.6911,0.1768,1
419,1909,27,19.6,0.1659,0
210,5431,4122,6.1185,0.1359,4
57,4414,7075,0.6225,0.1756,4
111,5515,6359,11.3557,0.1593,0
530,6170,4122,0.7744,0.1599,2
305,1909,5375,10.2832,0.1625,3
356,806,4122,4.7026,0.1315,3
571,1909,960,3.5292,0.1895,3
285,5515,3237,10.3339,0.119,2
312,5431,1390,6.1376,0.1502,2
246,5431,4122,15.0174,0.1299,1
229,5515,4817,4.6517,0.1531,3
120,5431,6101,15.7002,0.1509,0
216,1909,959,3.2567,0.1421,3
89,1103,1642,2.43,0.1363,1
362,5515,2129,9.5285,0.1595,3
421,1909,5128,3.2388,0.1923,1
52,2198,6612,5.7596,0.1488,3
387,2198,1651,4.3329,0.1208,1
175,5515,3885,8.1922,0.1498,3
429,5431,4122,16.1234,0.1424,0
26,429,7347,18.6394,0.1699,0
690,1103,6612,0.9028,0.1299,1
221,429,392,9.4258,0.1724,0
292,5515,5629,7.1421,0.1493,3
218,5431,596,3.9121,0.181,3
678,2456,4000,0.3685,0.1356,2
208,2198,2160,4.2745,0.1805,0
226,69,6101,4.7396,0.1379,0
448,1909,4840,8.0792,0.145,4
448,5431,6612,8.1107,0.1435,4
118,5431,3404,6.2392,0.1459,3
322,5431,2036,3.0266,0.1802,1
599,4575,6359,2.1428,0.1584,1
317,429,5500,5.8513,0.1724,1
354,5431,5700,5.4413,0.1664,1
196,69,431,7.3253,0.1761,1
117,429,6612,4.9926,0.1322,4
65,1909,6955,5.8524,0.1503,3
165,69,5500,5.9332,0.1687,4
63,5431,6101,9.6996,0.1599,3
455,1909,3237,17.3058,0.1417,1
471,429,4134,4.6705,0.1335,0
640,69,657,0.55,0.1562,3
66,4628,20,1.2234,0.1575,1
74,6428,4539,2.3287,0.1454,2
476,429,2915,10.4721,0.1685,4
445,2198,6612,11.3622,0.1397,4
104,806,772,3.2143,0.1758,4
310,5515,7402,5.8754,0.1422,4
299,2198,6703,3.7673,0.1424,0
474,1909,6295,3.4688,0.1479,4
385,5515,620,6.7877,0.14,2
367,5431,1651,2.7207,0.136,1
484,4628,256,3.7806,0.1822,2
591,3041,1074,0.4397,0.1672,3
468,5515,1642,15.0604,0.1289,1
312,69,4612,4.4008,0.1516,2
114,429,2314,7.1513,0.1272,2
260,5515,620,9.2471,0.1332,1
370,806,6612,5.0923,0.1377,3
332,5515,5553,17.3389,0.1643,2
133,5515,4730,3.5994,0.1699,3
189,4628,4122,7.0167,0.149,4
675,1902,2517,1.0834,0.1597,4
464,5515,1569,1.4369,0.1376,4
138,5431,4018,5.9712,0.1577,0
673,4575,3237,2.713,0.1554,2
130,1909,6612,11.1815,0.1354,2
439,1909,3951,7.2326,0.1363,0
152,5431,6209,5.3511,0.1403,0
63,1909,392,10.6688,0.1579,3
213,5434,3952,2.3355,0.1622,2
98,69,910,5.5203,0.151,0
263,1909,3229,8.7228,0.1294,2
616,4124,4499,0.3672,0.1408,2
216,69,2727,3.4101,0.135,3
444,5515,5500,2.6853,0.1463,0
309,5431,6101,8.4194,0.1516,4
491,5431,1642,12.4665,0.136,1
476,2198,6359,8.7976,0.1731,4
413,4415,608,2.1179,0.1392,3
639,4265,6703,0.3458,0.1469,2
258,2198,4730,3.2548,0.1334,1
521,639,6287,0.5801,0.1541,3
249,429,6612,7.9769,0.1404,3
101,5515,3228,5.6254,0.144,0
91,5515,4122,23.264,0.1272,4
108,2540,6552,2.5189,0.1667,1
224,2198,6612,7.2813,0.1466,2
422,5515,3228,5.5645,0.128,0
284,5431,6612,12.7996,0.134,4
252,1909,910,6.6481,0.1366,4
627,4575,6500,0.8617,0.1888,4
375,5515,6612,5.1278,0.1444,2
314,1909,1190,6.48,0.1544,1
620,4629,2314,0.7483,0.1418,4
55,69,1642,13.383,0.1343,0
89,1902,6612,2.9209,0.1322,1
12,806,3951,5.8233,0.1338,3
42,69,4134,2.5674,0.1445,4
362,5431,4122,12.0372,0.1553,3
529,2604,5507,0.4871,0.199,2
541,3307,209,0.4337,0.1947,4
633,2198,1116,0.5684,0.1406,1
227,5515,1190,9.4591,0.1378,0
112,1909,3237,15.9452,0.1262,0
145,5515,6101,7.8732,0.1585,3
174,806,1651,3.2157,0.114,2
15,7061,256,0.9378,0.1708,1
543,1623,209,0.4208,0.1779,1
459,5515,6612,6.2179,0.1526,1
263,5515,3237,10.7915,0.1288,2
20,2198,2490,9.0037,0.1492,1
611,3146,1074,0.6327,0.1631,3
224,429,4122,9.1581,0.1418,2
454,5515,2863,4.2372,0.1478,2
167,1909,35,7.6675,0.1381,0
435,5431,4394,20.488,0.1621,4
97,5515,3404,6.6397,0.1473,2
78,69,910,4.4231,0.1445,0
298,69,5500,4.4202,0.1569,3
10,4575,6612,7.836,0.1363,4
3,1909,6612,7.0289,0.1368,3
663,2169,1147,0.477,0.1496,1
389,5515,4018,6.2377,0.1576,2
510,1909,910,2.3107,0.1464,3
209,1909,5269,16.1248,0.1464,4
361,5431,3404,8.2372,0.1455,4
15,1902,5629,1.6898,0.1693,1
125,429,6703,4.0108,0.1293,0
565,6951,6552,0.4479,0.1842,0
285,5431,6612,10.6937,0.115,2
196,5431,6464,7.8448,0.1759,1
234,2198,2129,15.5422,0.1489,2
407,1909,6209,3.0467,0.1321,4
225,429,620,6.6077,0.167,3
186,5431,1199,15.3184,0.1559,1
437,429,4501,2.6683,0.142,3
162,5431,1190,10.3409,0.1529,0
69,4414,5500,0.5621,0.1684,3
40,5431,5500,10.7187,0.1608,0
314,5431,6101,7.2202,0.1517,1
