herb,positive_target,negative_target,positive_score,negative_score,fold
106,179,4817,2.6016,0.1625,4
74,2540,2814,3.8414,0.1414,4
39,2198,1264,14.8125,0.1456,2
305,1909,5375,10.2832,0.1625,3
254,806,5268,3.4964,0.1338,1
459,5431,4840,5.8931,0.1543,3
366,1909,1642,13.0041,0.1566,1
266,5515,3952,4.8059,0.1524,1
493,4575,221,2.6295,0.1475,1
64,1103,7083,1.3189,0.1569,3
336,2540,5269,9.1236,0.1461,2
644,1623,5058,0.6224,0.1743,2
266,2198,2314,7.3807,0.1369,1
291,4575,2727,2.2716,0.1577,4
283,69,6703,3.013,0.1364,4
80,1909,674,6.9786,0.1572,4
116,5431,1199,9.5453,0.1501,0
390,69,2356,7.1578,0.1524,3
86,1662,5272,1.448,0.1496,0
183,2198,4001,4.0952,0.1327,3
140,5431,1059,6.5503,0.1538,4
311,5515,6906,4.029,0.1552,2
411,69,6612,1.9107,0.1469,1
356,1103,3952,3.2843,0.1451,4
41,5515,4134,6.5633,0.153,1
1,1909,1222,16.0072,0.136,2
325,806,1642,11.79,0.1495,3
452,69,1190,5.7467,0.1642,1
62,5431,6359,10.0347,0.1536,0
45,5515,5257,5.9156,0.1592,3
162,1909,1222,6.5338,0.1584,4
371,4575,7347,3.8012,0.1598,3
259,5515,1020,5.6424,0.1653,1
452,5431,5500,6.3322,0.1572,1
70,5514,3229,5.4468,0.1382,1
415,5431,910,8.3399,0.141,1
673,897,6765,0.9953,0.1649,0
325,2198,720,11.5356,0.1505,3
50,2540,2891,6.9152,0.1552,4
98,2199,7117,2.7327,0.1532,0
93,5431,6359,17.4397,0.1584,1
623,1103,6459,1.7243,0.151,0
478,429,3228,4.2325,0.1423,1
266,5431,3343,4.5203,0.1531,1
155,1909,2891,5.2886,0.167,2
366,2540,5629,8.9109,0.1639,1
124,806,4840,2.668,0.1444,2
232,2198,35,2.6026,0.1382,3
137,806,5269,11.3455,0.1389,3
309,806,7509,5.0187,0.1559,1
141,2198,3237,16.1186,0.1277,4
207,69,7607,4.408,0.1377,4
294,5431,6612,4.8491,0.1298,2
289,5431,6612,9.789,0.1364,3
463,5515,4817,18.8389,0.1531,3
280,1909,910,5.6636,0.1386,4
61,1909,6101,17.6785,0.1511,4
254,5515,6612,3.8754,0.1316,1
342,69,2670,9.341,0.1386,4
656,69,1106,0.5849,0.1704,3
185,5515,6612,9.3745,0.1443,1
117,2198,6612,4.9717,0.1322,0
56,69,4817,22.4212,0.1523,0
411,4575,4134,1.9949,0.1461,1
212,4575,510,2.4279,0.1516,1
452,1909,1390,6.1691,0.1596,1
386,2198,620,7.4761,0.1614,1
426,5431,3145,9.8384,0.1551,3
205,69,1300,15.8206,0.1525,4
37,1909,3228,3.8051,0.1289,4
475,5515,2833,1.4287,0.1514,2
