herb,positive_target,negative_target,positive_score,negative_score,fold
481,179,3047,1.3914,0.1556,3
96,4575,1264,2.7793,0.1536,2
149,1242,3149,5.8882,0.153,4
110,4415,1814,4.6427,0.1629,2
412,5431,3229,17.8465,0.1342,1
351,174,2204,4.106,0.1582,4
236,1243,720,3.0264,0.1375,3
368,966,3008,3.0702,0.1464,2
59,966,2258,3.9773,0.1552,0
123,2199,1222,2.5567,0.15,0
353,5514,2174,4.3767,0.158,2
125,2849,1642,1.7151,0.1391,2
459,4415,5500,3.6647,0.1586,3
89,7061,3008,1.0384,0.1449,3
229,6042,3746,1.8187,0.1606,0
83,7061,2626,1.8468,0.1668,0
286,5515,1642,12.7796,0.1239,1
176,6042,4535,3.7531,0.1455,2
361,1909,2129,8.1523,0.1545,2
457,846,2866,1.578,0.1697,3
312,6118,6765,1.52,0.1703,2
266,1246,6209,1.4232,0.1641,1
353,1902,3130,3.7266,0.1642,2
390,3244,151,1.8753,0.17,3
374,806,3145,6.5294,0.1433,2
166,429,6101,8.6501,0.1418,3
184,966,720,3.398,0.1498,3
374,5515,910,7.7881,0.1403,2
117,966,720,3.2012,0.1406,1
337,4575,3008,5.1664,0.144,0
227,1909,6059,9.4502,0.1454,2
434,4575,3145,4.6847,0.1302,3
39,1909,35,15.0125,0.1435,3
159,2198,3229,7.8739,0.1324,2
58,5514,1119,3.3346,0.1431,3
10,5270,256,5.4261,0.1485,1
458,429,1264,5.4422,0.1562,0
102,1902,720,1.378,0.157,3
490,2198,7118,14.2216,0.1512,0
97,2849,2129,4.2272,0.1565,2
229,5514,6388,2.9142,0.1582,0
256,4575,901,4.1966,0.1448,2
31,1909,7118,14.9668,0.1439,3
422,1902,2670,2.2941,0.1386,3
375,5431,3229,4.1862,0.15,0
490,6042,742,7.7541,0.1594,0
41,69,20,5.0367,0.159,2
185,69,5302,4.9363,0.1608,1
25,5515,6359,16.1989,0.1505,2
231,3047,4972,0.7233,0.1544,3
12,2198,2389,4.2142,0.1454,2
493,5431,725,1.7751,0.157,1
94,429,3266,11.6183,0.1474,4
72,4575,6209,2.6675,0.1516,4
103,3945,720,2.6634,0.1533,3
68,3940,2140,1.1552,0.1696,3
97,179,2860,3.1174,0.1614,2
404,5081,7117,1.5046,0.1357,0
351,4415,3130,9.5199,0.1553,4
6,2198,2419,7.89,0.161,2
268,5431,7607,8.7552,0.131,2
427,2198,4122,5.4953,0.1292,3
38,6042,1300,3.6514,0.1456,2
431,4575,5268,3.7188,0.1484,2
456,4415,1222,10.6979,0.1603,1
342,173,6359,3.8624,0.1569,2
407,1244,2866,1.368,0.147,1
60,2849,4018,1.784,0.1347,0
253,7061,6732,1.3737,0.145,2
227,3945,6543,3.6527,0.156,2
12,1221,6765,1.5709,0.1537,2
429,6042,2096,5.4093,0.1583,2
215,4575,2490,6.0974,0.1621,4
132,6426,1504,2.0015,0.1622,4
6,4575,1979,8.2151,0.1609,2
281,4575,3349,2.9134,0.1608,3
439,1243,6359,1.7948,0.1706,4
374,1244,2174,3.2679,0.1528,2
387,429,4121,3.9712,0.1245,0
181,5270,2036,1.9443,0.1434,0
178,1242,5188,1.1514,0.1501,3
70,3911,6765,2.2269,0.146,4
200,5515,1642,4.3118,0.1365,0
294,2540,7117,3.4263,0.1345,2
371,5128,3344,0.8467,0.168,1
65,664,3277,1.0736,0.1681,4
23,5081,1222,3.4283,0.1459,4
174,2198,910,2.6606,0.1252,4
390,5514,3778,4.6789,0.1607,3
490,1902,2513,10.8942,0.1587,0
444,3244,3344,0.7566,0.1606,0
128,174,5500,1.3533,0.161,4
478,429,3228,4.2325,0.1423,1
455,1103,6543,6.2795,0.1628,1
228,4628,1979,4.3183,0.1544,3
112,2849,51,5.5959,0.1474,2
427,5270,5505,2.6079,0.1453,3
42,252,5500,0.8191,0.1509,1
439,806,702,6.0761,0.1397,4
447,5081,5500,2.3705,0.1516,1
391,4415,3149,2.1921,0.1362,0
309,4575,1190,5.9695,0.1542,0
152,1902,3149,2.6529,0.1478,2
91,2198,3008,21.839,0.1325,3
420,4415,1222,5.3573,0.1475,2
154,429,3142,7.501,0.1518,4
240,5515,6612,3.2508,0.1382,2
351,1243,7144,10.9467,0.1532,4
204,1909,3237,6.7525,0.1427,2
123,1244,2670,2.2636,0.1512,0
211,6426,59,2.6013,0.1544,1
32,2199,1222,3.0852,0.142,4
306,4628,3130,9.1543,0.1546,2
101,2199,2604,2.0382,0.1581,1
98,1650,1222,1.2706,0.1576,4
395,897,3947,1.1966,0.1393,1
142,1909,4134,3.5017,0.1331,1
345,3178,6390,0.813,0.1486,1
280,7061,3130,1.0481,0.1569,2
154,2540,2372,2.8869,0.1689,4
432,5514,3237,2.3988,0.1413,1
377,1221,4122,2.1083,0.1414,1
183,1103,1110,2.2706,0.1451,0
450,6042,3145,2.4896,0.1497,1
353,2198,3237,7.6315,0.1468,2
361,3911,5500,2.5333,0.1672,2
58,4575,1110,3.2434,0.1436,3
294,6042,3008,1.8907,0.1423,2
453,5515,5268,6.6753,0.1496,0
294,5515,7402,4.1864,0.1338,2
149,5081,2174,4.5775,0.1586,4
625,1902,910,1.3016,0.1422,0
351,5515,553,17.9529,0.1471,4
71,174,2579,3.3277,0.1741,3
191,5515,5269,5.984,0.1232,0
77,5515,6612,8.5868,0.146,2
427,639,2239,0.6551,0.1539,3
139,5514,2314,8.586,0.1515,4
274,5434,3237,2.8886,0.1495,3
375,1902,3149,3.4054,0.155,0
21,429,2314,8.1061,0.1402,2
337,2540,720,8.7121,0.1396,0
109,4415,35,3.6087,0.1567,1
190,429,1390,1.2142,0.1635,1
156,3945,2008,2.7031,0.1656,4
154,2199,2891,3.3026,0.1666,4
78,1909,6612,5.5451,0.1415,3
342,1664,4817,1.7,0.1615,2
481,1909,4840,3.3123,0.149,3
401,5515,910,2.6988,0.1382,3
439,5515,4122,4.8527,0.1465,4
439,5514,6101,3.5462,0.1594,4
150,1103,6552,5.0669,0.1485,1
346,966,1396,2.6546,0.1492,4
3,5514,901,3.3976,0.1435,1
269,4415,1300,6.3228,0.1537,2
105,5515,3229,10.962,0.15,3
110,3911,2915,4.5079,0.163,2
345,69,4840,3.2495,0.1407,1
62,1902,1602,2.9307,0.1617,4
23,966,6765,3.2235,0.1502,4
231,6426,742,1.3553,0.1527,3
70,5270,3411,3.3051,0.1454,4
297,1902,1979,3.8358,0.1548,4
448,806,4612,4.8943,0.1514,1
459,2540,3229,4.015,0.1585,3
333,2088,1979,1.1227,0.1585,4
58,179,3344,2.4387,0.1485,3
89,4918,4018,1.2657,0.1441,3
279,966,5500,2.29,0.1391,0
84,1243,1705,3.4024,0.1709,3
364,966,5375,1.3853,0.1412,1
246,1243,3266,5.0685,0.1443,1
70,1909,5269,4.9961,0.1418,4
228,6042,4535,4.0784,0.1552,3
336,1243,2130,6.1589,0.1532,2
90,5514,3943,4.6396,0.165,3
403,1103,6209,1.9769,0.1403,4
453,1909,6209,6.5093,0.1499,0
230,5514,221,6.0514,0.1488,4
55,2540,35,10.34,0.1364,4
266,5515,3952,4.8059,0.1524,1
458,1909,3237,5.6675,0.1538,0
473,897,6765,1.7901,0.1625,4
246,1902,4962,2.7395,0.1507,1
67,5515,248,8.3314,0.1362,1
139,2198,6612,11.619,0.1442,4
405,4415,3349,4.2206,0.147,2
88,5270,1190,4.6894,0.1662,0
204,429,1222,6.1284,0.1471,2
493,2198,3947,2.867,0.1439,1
