herb,positive_target,negative_target,positive_score,negative_score,fold
94,1924,1405,1.1853,0.1665,0
325,1103,2096,6.6456,0.1624,0
94,5268,3606,0.6935,0.1715,0
177,2849,2313,2.0843,0.127,3
176,3910,4961,1.752,0.1561,1
283,966,3954,1.1241,0.1523,4
92,4918,6252,0.8654,0.1631,2
396,429,910,5.2235,0.1399,2
188,2125,6723,0.577,0.1654,4
385,5434,7117,2.2754,0.1578,3
43,5431,6612,8.1277,0.1348,4
349,5081,4535,8.1408,0.1444,3
331,806,910,2.3565,0.1403,2
188,5504,6539,0.705,0.1608,4
265,7509,3130,1.0354,0.1551,2
47,1909,1264,2.6684,0.1406,4
188,4580,543,0.8794,0.1557,4
29,3451,1396,1.1335,0.1587,3
6,4415,1956,6.623,0.1636,1
403,6042,5500,1.278,0.1431,2
32,2252,4891,1.3703,0.1524,1
625,3216,1264,0.7043,0.1462,0
256,252,2691,0.7131,0.1685,3
324,5376,2096,0.9627,0.1706,3
215,3178,2863,1.1282,0.1737,2
166,666,877,0.8202,0.1737,1
23,897,1396,1.6149,0.1571,3
78,902,1119,0.6709,0.1675,3
231,897,6884,0.5854,0.1573,2
257,5515,6101,7.3794,0.1564,4
279,1902,2036,1.7138,0.1451,3
59,7509,3215,1.113,0.1689,2
91,1245,3253,3.174,0.1671,4
335,3874,1983,1.4971,0.1683,0
150,3178,3645,0.7681,0.1644,3
351,4415,3130,9.5199,0.1553,2
42,3307,5375,0.927,0.1505,2
315,1221,893,3.7048,0.1506,0
39,903,7025,1.2373,0.1652,3
193,4575,35,4.3775,0.1457,0
261,897,4218,4.3033,0.1742,0
43,1650,4590,1.1576,0.1719,4
153,1902,6543,9.5676,0.161,3
255,429,4501,3.5383,0.149,2
112,1902,4018,7.6584,0.1408,3
207,5257,1662,0.6618,0.1576,4
350,7061,1396,1.7936,0.1574,0
406,2252,1979,1.1479,0.1454,3
23,1664,5688,0.7548,0.161,3
10,3307,531,1.5128,0.169,4
140,893,3236,0.9036,0.1691,4
338,902,4535,0.7496,0.1502,0
458,639,677,0.6428,0.1721,2
385,1565,4972,1.0306,0.1687,3
141,908,5191,1.0441,0.1643,3
47,3940,1945,0.5683,0.1541,4
188,3451,7195,1.6927,0.1473,4
134,1106,362,1.4165,0.1733,0
6,2198,2419,7.89,0.161,1
